numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0351546R,1971-03-18,1996-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351621X,1971-06-24,1983-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351640T,1971-09-01,1991-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0351653G,1971-06-24,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351761Z,1972-06-01,2000-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351768G,1972-06-01,1996-08-31,101,ECOLE MATERNELLE
0351803V,1973-06-06,1993-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351812E,1973-06-06,2020-08-31,101,ECOLE MATERNELLE
0351820N,1973-06-06,1987-08-31,101,ECOLE MATERNELLE
0351835E,1973-06-06,2001-08-31,101,ECOLE MATERNELLE
0351840K,1973-09-28,1993-08-31,101,ECOLE MATERNELLE
0351892S,1975-05-14,1993-08-31,101,ECOLE MATERNELLE
0351902C,1975-09-29,1996-08-31,101,ECOLE MATERNELLE
0351918V,1976-05-31,1998-08-31,101,ECOLE MATERNELLE
0351920X,1976-05-31,1993-08-31,101,ECOLE MATERNELLE
0351924B,1976-05-31,1995-08-31,101,ECOLE MATERNELLE
0351942W,1976-12-06,2018-08-31,101,ECOLE MATERNELLE
0351968Z,1977-03-24,2002-08-31,340,COLLEGE
0351971C,1978-09-01,1994-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0351984S,1977-05-23,2021-08-31,101,ECOLE MATERNELLE
0351999H,1978-01-18,1981-06-29,302,LYCEE D ENSEIGNEMENT GENERAL
0352007S,1978-09-04,1992-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0352022H,1978-09-01,1982-12-31,340,COLLEGE
0352032U,1979-09-01,2010-08-31,101,ECOLE MATERNELLE
0352040C,1979-09-01,2010-08-31,101,ECOLE MATERNELLE
0352042E,1979-09-01,2014-08-31,101,ECOLE MATERNELLE
0352047K,1979-09-01,1988-08-31,101,ECOLE MATERNELLE
0352102V,1982-09-01,1991-08-31,101,ECOLE MATERNELLE
0352107A,1982-09-01,1991-08-31,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE
0352108B,1982-04-29,1989-08-31,302,LYCEE D ENSEIGNEMENT GENERAL
0352146T,1984-09-01,1985-09-05,101,ECOLE MATERNELLE
