Code INSEE,Type local,Valeur fonciere
02453,Maison,174812.5
02454,Maison,118942.16666666667
02456,Maison,265916.6666666667
02457,Maison,102592.005
02458,Maison,156134.555
02459,Maison,200000.0
02460,Maison,120000.0
02461,Maison,123750.0
02462,Maison,156493.75
02464,Maison,152100.0
02465,Maison,210129.83333333334
02468,Maison,74156.53846153847
02469,Maison,59908.57142857143
02470,Maison,76281.81818181818
02472,Maison,59425.0
02473,Maison,86000.0
02474,Maison,90138.88888888889
02476,Maison,64556.25
02477,Appartement,87000.0
02477,Maison,202700.0
02480,Maison,53758.333333333336
02481,Maison,150870.0
02483,Maison,175857.75
02484,Maison,188150.0
02487,Maison,259281.42857142858
02489,Maison,70000.0
02490,Maison,271000.0
02491,Maison,63700.0
02492,Maison,105307.5
02493,Maison,128225.0
02495,Maison,107825.9375
